display_interval_eet,time_sweden,SE1,SE2,SE3,SE4
01:00 - 01:15,2026-06-24 00:00:00,55.03,55.15,100.46,139.56
01:15 - 01:30,2026-06-24 00:15:00,54.44,54.58,102.18,143.25
01:30 - 01:45,2026-06-24 00:30:00,48.14,48.09,97.34,140.0
01:45 - 02:00,2026-06-24 00:45:00,45.11,45.0,95.9,140.02
02:00 - 02:15,2026-06-24 01:00:00,45.08,44.99,95.43,138.06
02:15 - 02:30,2026-06-24 01:15:00,48.14,48.18,96.11,136.53
02:30 - 02:45,2026-06-24 01:30:00,51.78,52.01,96.64,134.13
02:45 - 03:00,2026-06-24 01:45:00,56.99,57.39,97.42,130.91
03:00 - 03:15,2026-06-24 02:00:00,51.34,51.56,94.02,129.52
03:15 - 03:30,2026-06-24 02:15:00,54.59,54.91,94.13,126.83
03:30 - 03:45,2026-06-24 02:30:00,59.52,60.0,94.87,123.8
03:45 - 04:00,2026-06-24 02:45:00,60.89,62.46,76.19,86.6
04:00 - 04:15,2026-06-24 03:00:00,46.0,46.1,90.15,127.12
04:15 - 04:30,2026-06-24 03:15:00,49.2,50.0,79.99,104.62
04:30 - 04:45,2026-06-24 03:30:00,51.66,53.46,63.95,71.45
04:45 - 05:00,2026-06-24 03:45:00,58.12,60.24,63.71,65.09
05:00 - 05:15,2026-06-24 04:00:00,51.77,54.0,57.77,59.24
05:15 - 05:30,2026-06-24 04:15:00,54.82,57.02,60.72,62.17
05:30 - 05:45,2026-06-24 04:30:00,61.57,63.72,67.32,68.72
05:45 - 06:00,2026-06-24 04:45:00,65.92,68.04,71.57,72.93
06:00 - 06:15,2026-06-24 05:00:00,63.34,65.21,68.66,70.02
06:15 - 06:30,2026-06-24 05:15:00,78.24,80.02,83.22,84.47
06:30 - 06:45,2026-06-24 05:30:00,78.24,80.02,83.22,84.47
06:45 - 07:00,2026-06-24 05:45:00,100.13,101.76,104.63,105.72
07:00 - 07:15,2026-06-24 06:00:00,102.18,103.83,106.85,107.96
07:15 - 07:30,2026-06-24 06:15:00,104.43,106.09,109.1,110.22
07:30 - 07:45,2026-06-24 06:30:00,107.32,108.93,111.89,112.98
07:45 - 08:00,2026-06-24 06:45:00,108.14,109.78,112.76,113.87
08:00 - 08:15,2026-06-24 07:00:00,144.07,146.63,151.29,153.12
08:15 - 08:30,2026-06-24 07:15:00,135.71,138.03,142.25,143.91
08:30 - 08:45,2026-06-24 07:30:00,122.5,124.43,127.94,129.32
08:45 - 09:00,2026-06-24 07:45:00,109.67,111.27,114.17,115.3
09:00 - 09:15,2026-06-24 08:00:00,144.71,147.22,151.78,153.59
09:15 - 09:30,2026-06-24 08:15:00,115.84,117.51,120.54,121.74
09:30 - 09:45,2026-06-24 08:30:00,107.67,109.11,111.72,112.76
09:45 - 10:00,2026-06-24 08:45:00,100.93,102.15,104.37,105.25
10:00 - 10:15,2026-06-24 09:00:00,109.16,110.67,113.27,114.28
10:15 - 10:30,2026-06-24 09:15:00,103.22,104.56,106.87,107.77
10:30 - 10:45,2026-06-24 09:30:00,97.77,98.95,101.0,101.8
10:45 - 11:00,2026-06-24 09:45:00,91.36,92.41,94.22,94.93
11:00 - 11:15,2026-06-24 10:00:00,100.9,102.18,104.34,105.16
11:15 - 11:30,2026-06-24 10:15:00,93.97,95.11,97.02,97.75
11:30 - 11:45,2026-06-24 10:30:00,86.78,87.73,89.33,89.94
11:45 - 12:00,2026-06-24 10:45:00,74.55,75.13,76.09,76.46
12:00 - 12:15,2026-06-24 11:00:00,85.84,86.75,88.26,88.83
12:15 - 12:30,2026-06-24 11:15:00,79.84,80.62,81.91,82.4
12:30 - 12:45,2026-06-24 11:30:00,71.93,72.45,73.31,73.64
12:45 - 13:00,2026-06-24 11:45:00,65.24,65.56,66.09,66.3
13:00 - 13:15,2026-06-24 12:00:00,77.52,78.19,79.34,79.78
13:15 - 13:30,2026-06-24 12:15:00,68.59,68.96,69.58,69.82
13:30 - 13:45,2026-06-24 12:30:00,65.34,65.66,66.21,66.41
13:45 - 14:00,2026-06-24 12:45:00,60.45,60.66,61.0,61.13
14:00 - 14:15,2026-06-24 13:00:00,68.0,68.41,69.09,69.35
14:15 - 14:30,2026-06-24 13:15:00,65.21,65.55,66.1,66.31
14:30 - 14:45,2026-06-24 13:30:00,64.11,64.43,64.95,65.15
14:45 - 15:00,2026-06-24 13:45:00,62.66,62.96,63.45,63.64
15:00 - 15:15,2026-06-24 14:00:00,59.99,60.26,60.68,60.84
15:15 - 15:30,2026-06-24 14:15:00,64.11,64.48,65.08,65.32
15:30 - 15:45,2026-06-24 14:30:00,66.87,67.32,68.04,68.33
15:45 - 16:00,2026-06-24 14:45:00,74.9,75.6,76.72,77.16
16:00 - 16:15,2026-06-24 15:00:00,58.56,58.81,59.2,59.35
16:15 - 16:30,2026-06-24 15:15:00,74.82,75.53,76.65,77.09
16:30 - 16:45,2026-06-24 15:30:00,74.2,75.19,76.82,77.47
16:45 - 17:00,2026-06-24 15:45:00,86.66,87.83,89.72,90.45
17:00 - 17:15,2026-06-24 16:00:00,85.33,86.27,88.07,88.84
17:15 - 17:30,2026-06-24 16:15:00,89.74,90.81,92.85,93.73
17:30 - 17:45,2026-06-24 16:30:00,93.25,94.42,96.64,97.6
17:45 - 18:00,2026-06-24 16:45:00,99.84,101.2,103.78,104.89
18:00 - 18:15,2026-06-24 17:00:00,87.52,88.64,95.31,98.14
18:15 - 18:30,2026-06-24 17:15:00,103.05,104.32,107.21,108.45
18:30 - 18:45,2026-06-24 17:30:00,107.8,109.19,112.37,113.72
18:45 - 19:00,2026-06-24 17:45:00,114.55,116.1,119.65,121.16
19:00 - 19:15,2026-06-24 18:00:00,110.25,111.79,115.28,116.87
19:15 - 19:30,2026-06-24 18:15:00,105.88,107.31,122.06,134.15
19:30 - 19:45,2026-06-24 18:30:00,142.56,144.9,150.2,152.62
19:45 - 20:00,2026-06-24 18:45:00,149.95,152.52,183.94,210.24
20:00 - 20:15,2026-06-24 19:00:00,113.79,115.42,155.05,190.08
20:15 - 20:30,2026-06-24 19:15:00,113.97,115.63,180.09,238.11
20:30 - 20:45,2026-06-24 19:30:00,113.98,115.64,194.95,266.74
20:45 - 21:00,2026-06-24 19:45:00,113.97,115.68,246.97,366.91
21:00 - 21:15,2026-06-24 20:00:00,128.98,131.13,193.71,250.16
21:15 - 21:30,2026-06-24 20:15:00,110.28,111.97,184.18,250.09
21:30 - 21:45,2026-06-24 20:30:00,104.4,105.94,181.17,250.06
21:45 - 22:00,2026-06-24 20:45:00,93.28,94.56,182.93,264.39
22:00 - 22:15,2026-06-24 21:00:00,111.98,113.72,209.88,298.19
22:15 - 22:30,2026-06-24 21:15:00,108.39,110.04,187.58,258.56
22:30 - 22:45,2026-06-24 21:30:00,90.11,91.31,173.76,249.79
22:45 - 23:00,2026-06-24 21:45:00,73.7,74.49,159.42,238.16
23:00 - 23:15,2026-06-24 22:00:00,81.54,82.55,218.55,343.25
23:15 - 23:30,2026-06-24 22:15:00,69.3,70.0,184.92,290.43
23:30 - 23:45,2026-06-24 22:30:00,61.56,62.01,143.86,219.05
23:45 - 00:00,2026-06-24 22:45:00,49.86,49.99,121.32,187.08
00:00 - 00:15,2026-06-24 23:00:00,58.12,58.4,122.85,180.97
00:15 - 00:30,2026-06-24 23:15:00,49.94,50.0,105.67,156.03
00:30 - 00:45,2026-06-24 23:30:00,45.83,45.8,104.99,158.61
00:45 - 01:00,2026-06-24 23:45:00,38.21,38.01,103.46,162.89
